"CountryName","Code","ISO3Code","UNCode","UNICEFCode","MDGRegion1","MDGRegion1excl","MDGRegion2","MDGRegion3","MDGRegion4","MDGRegion5","UNICEFRegion1","UNICEFRegion2","UNICEFRegion3","UNICEFRegion4","UNICEFRegion5","UNICEFRegion6","WHORegion1","WBRegion1","WBRegion2","WBRegion3","WBRegion4","UNPDRegion1","UNPDRegion2","UNPDRegion3","UNPDRegion4","UNPDRegion5","OICRegion1","OICRegion2","OICRegion3","OICRegion4","Countdown.and.COIA.75.Priority.Countries","ECAAfrica","AURegion1","AURegion2","FragileCountries2013","FragileCountries2014","FragileCountries2015","USAIDcountry","M49Region1","M49Region2","M49Region3","UNICEFCountry","ARR 1990-2015 median","ARR 1990-2000 median","ARR 2000-2015 median","Required ARR median","Change in ARR median","Percentage decline 1990-2015 median","Percentage decline 1990-2000 median","Percentage decline 2000-2015 median"
"El Salvador",119,"SLV",222,"ESL","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Latin America","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","Lower middle income","Latin America and the Caribbean","Middle income","Low and middle income","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","Central America",1,5.05166135983754,6.06135803570316,4.3785302425938,,-1.68282779310935,71.7171717171717,45.4545454545455,48.1481481481481
"Equatorial Guinea",29,"GNQ",226,"EQG","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","Central Africa","Least developed countries","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","High income: nonOECD","","High income","","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","","","","","Countdown","Central Africa","Africa","Central Africa","Non-fragile","Non-fragile","Non-fragile","","Africa","Middle Africa","",1,2.80012391172459,2.19850825257234,3.20120101782609,,1.00269276525375,50.3430079155673,19.7361477572559,38.1328073635766
"Ethiopia",5,"ETH",231,"ETH","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","Eastern Africa","Least developed countries","","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Low income","Sub-Saharan Africa","Low income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","","","","","Countdown","Eastern Africa","Africa","Eastern Africa","Non-fragile","Non-fragile","Non-fragile","USAID","Africa","Eastern Africa","",1,4.96054124651026,3.43633693627384,5.97667745333455,,2.54034051706071,71.0654936461388,29.0811339198436,59.2005513439008
"Eritrea",4,"ERI",232,"ETHB","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","Eastern Africa","Least developed countries","","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Low income","Sub-Saharan Africa","Low income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","","","","","Countdown","Eastern Africa","Africa","Eastern Africa","Fragile","Fragile","Fragile","","Africa","Eastern Africa","",1,4.72189211364015,5.30166006526585,4.33538014588969,,-0.966279919376162,69.2866578599736,41.1492734478203,47.8114478114478
"Estonia",163,"EST",233,"EST","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: OECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Northern Europe","",1,7.76388746965892,6.07787331608789,8.88789690537295,,2.81002358928506,85.6435643564356,45.5445544554455,73.6363636363636
"Fiji",76,"FJI",242,"FJI","Oceania","Oceania","Developing regions","","","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","","","Western Pacific","Upper middle income","East Asia and Pacific","Middle income","Low and middle income","Oceania","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Oceania","Melanesia","",1,1.14178973860146,1.95835275960678,0.597414391264581,,-1.36093836834219,24.8322147651007,17.7852348993289,8.57142857142858
"Finland",173,"FIN",246,"FIN","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: OECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Northern Europe","",1,4.27679361384727,4.43492503697404,4.17137266509609,,-0.263552371877951,65.6716417910448,35.8208955223881,46.5116279069767
"France",174,"FRA",250,"FRA","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: OECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Western Europe","",1,2.95443821854681,5.10825623765991,1.51855953913808,,-3.58969669852183,52.2222222222222,40,20.3703703703704
"Djibouti",47,"DJI",262,"DJB","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","Eastern Africa","Least developed countries","","Middle East and North Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","Middle East","Eastern Mediterranean","Lower middle income","Middle East and North Africa","Middle income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","OIC","Arab","OIC Lower middle income","OIC Middle income","Countdown","Eastern Africa","Africa","Eastern Africa","Non-fragile","Non-fragile","Non-fragile","","Africa","Eastern Africa","",1,2.41394865870447,1.69340845321234,2.89430879569922,,1.20090034248688,45.3098827470687,15.5778894472362,35.218253968254
"Gabon",44,"GAB",266,"GAB","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","Central Africa","","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","","","Africa","Upper middle income","Sub-Saharan Africa","Middle income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Excluding least developed countries","Excluding China","OIC","Africa","OIC Upper middle income","OIC Middle income","Countdown","Central Africa","Africa","Central Africa","Non-fragile","Non-fragile","Non-fragile","","Africa","Middle Africa","",1,2.41450916494143,0.853491913221595,3.45518733275465,,2.60169541953305,45.3175457481163,8.18083961248655,40.4454865181712
"Georgia",139,"GEO",268,"GEO","Caucasus and Central Asia","Caucasus and Central Asia","Developing regions","","","","CEE/CIS","CEE/CIS","","Developing countries","","","Europe","Lower middle income","Europe and Central Asia","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Western Asia","",1,5.55357199110725,2.89780709108702,7.32408192445406,,4.42627483336704,75.0524109014675,25.1572327044025,66.6666666666667
"Gambia The",30,"GMB",270,"GAM","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","West Africa","Least developed countries","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Low income","Sub-Saharan Africa","Low income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","OIC","Africa","OIC Low income","","Countdown","West Africa","Africa","Western Africa","Non-fragile","Non-fragile","Non-fragile","","Africa","Western Africa","",1,3.61727215247864,3.59532809210729,3.63190152605954,,0.0365734339522512,59.51821386604,30.1997649823737,42.003367003367
"State of Palestine",61,"PSE",275,"PLW","Western Asia","Western Asia","Developing regions","","","","Middle East and North Africa","Middle East and North Africa","","Developing countries","","Middle East","N/A","Lower middle income","Middle East and North Africa","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Arab","OIC Lower middle income","OIC Middle income","","","","","Fragile","Fragile","Fragile","","Asia","Western Asia","",1,2.97586571582463,3.9873107592682,2.30156902019559,,-1.68574173907262,52.4774774774775,32.8828828828829,29.1946308724832
"Germany",175,"DEU",276,"GERB","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: OECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Western Europe","",1,3.32693337538437,4.53667209926042,2.52044089280033,,-2.01623120646009,56.4705882352941,36.4705882352941,31.4814814814815
"Ghana",45,"GHA",288,"GHA","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","West Africa","","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","","","Africa","Lower middle income","Sub-Saharan Africa","Middle income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Excluding least developed countries","Excluding China","","","","","Countdown","West Africa","Africa","Western Africa","Non-fragile","Non-fragile","Non-fragile","USAID","Africa","Western Africa","",1,2.90667949039436,2.35185943413546,3.27655952790028,,0.92470009376482,51.6483516483517,20.9576138147567,38.8282025819265
"Kiribati",86,"KIR",296,"KRB","Oceania","Oceania","Developing regions","","Least developed countries","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","Least developed countries","","Western Pacific","Lower middle income","East Asia and Pacific","Middle income","Low and middle income","Oceania","","Less developed regions","Least developed countries","Excluding China","","","","","","","","","Fragile","Fragile","Fragile","","Oceania","Micronesia","",1,2.16313524522713,3.0731804696864,1.55643842892095,,-1.51674204076545,41.7708333333333,26.4583333333333,20.8215297450425
"Greece",176,"GRC",300,"GRE","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: OECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Southern Europe","",1,4.03056204184953,4.79573080261886,3.52044953466998,,-1.27528126794888,63.4920634920635,38.0952380952381,41.025641025641
"Grenada",120,"GRD",308,"GND","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Caribbean","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","Upper middle income","Latin America and the Caribbean","Middle income","Low and middle income","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","Caribbean",1,2.72141531640014,3.75864638331874,2.02992793845441,,-1.72871844486432,49.3562231759657,31.3304721030043,26.25
"Guatemala",121,"GTM",320,"GUA","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Latin America","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","Lower middle income","Latin America and the Caribbean","Middle income","Low and middle income","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","Central America",1,4.089902599548,4.69262247771026,3.68808934743982,,-1.00453313027044,64.0296662546354,37.4536464771323,42.4901185770751
"Guinea",31,"GIN",324,"GUI","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","West Africa","Least developed countries","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Low income","Sub-Saharan Africa","Low income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","OIC","Africa","OIC Low income","","Countdown","West Africa","Africa","Western Africa","Fragile","Non-fragile","Non-fragile","","Africa","Western Africa","",1,3.73204987070729,3.36136440781926,3.97917351263265,,0.617809104813388,60.6633081444165,28.5474391267842,44.9471210340776
"Guyana",122,"GUY",328,"GUY","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Latin America","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","Lower middle income","Latin America and the Caribbean","Middle income","Low and middle income","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Asia/other","OIC Lower middle income","OIC Middle income","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","South America",1,1.70889315454752,2.57244940265918,1.13318898913976,,-1.43926041351942,34.7682119205298,22.682119205298,15.6316916488223
"Haiti",104,"HTI",332,"HTI","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","Least developed countries","Caribbean","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","Least developed countries","","Americas","Low income","Latin America and the Caribbean","Low income","Low and middle income","Latin America and the Caribbean","","Less developed regions","Least developed countries","Excluding China","","","","","Countdown","","","","Fragile","Fragile","Fragile","USAID","Americas","Latin America and the Caribbean","Caribbean",1,2.99251725990919,3.30182047687616,2.78631511526455,,-0.515505361611613,52.6748971193416,28.1207133058985,34.1603053435114
"Honduras",123,"HND",340,"HON","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Latin America","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","Lower middle income","Latin America and the Caribbean","Middle income","Low and middle income","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","Central America",1,4.19340181554889,4.42214650316906,4.04090535713544,,-0.381241146033623,64.9484536082474,35.7388316151203,45.4545454545455
"Hungary",164,"HUN",348,"HUN","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: OECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Eastern Europe","",1,4.69894393656364,5.33774556751535,4.27307618259583,,-1.06466938491952,69.1099476439791,41.3612565445026,47.3214285714286
"Iceland",177,"ISL",352,"ICE","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: OECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Northern Europe","",1,4.65260323922272,4.70003629245736,4.62098120373297,,-0.0790550887243873,68.75,37.5,50
"India",72,"IND",356,"IND","Southern Asia","","Developing regions","","","","South Asia","South Asia","Asia","Developing countries","","","South-East Asia","Lower middle income","South Asia","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","","","","","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","USAID","Asia","Southern Asia","",1,3.87904778548818,3.21638447186054,4.3208233279066,,1.10443885604606,62.0826709062003,27.5039745627981,47.6973684210526
"Indonesia",96,"IDN",360,"IDS","South-eastern Asia","South-eastern Asia","Developing regions","","","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","","","South-East Asia","Lower middle income","East Asia and Pacific","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Asia/other","OIC Lower middle income","OIC Middle income","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","USAID","Asia","South-Eastern Asia","",1,4.54359451342423,4.82119230587132,4.3585293184595,,-0.462662987411813,67.8866587957497,38.2526564344746,47.9923518164436
"Iran",53,"IRN",364,"IRN","Southern Asia","Southern Asia excluding India","Developing regions","","","","Middle East and North Africa","Middle East and North Africa","","Developing countries","","Middle East","Eastern Mediterranean","Upper middle income","Middle East and North Africa","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Asia/other","OIC Upper middle income","OIC Middle income","","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Southern Asia","",1,5.24377969551242,5.05045260850491,5.37266442018408,,0.322211811679172,73.0434782608696,39.6521739130435,55.3314121037464
"Iraq",54,"IRQ",368,"IRQ","Western Asia","Western Asia","Developing regions","","","","Middle East and North Africa","Middle East and North Africa","","Developing countries","","Middle East","Eastern Mediterranean","Upper middle income","Middle East and North Africa","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Arab","OIC Lower middle income","OIC Middle income","Countdown","","","","Fragile","Fragile","Fragile","","Asia","Western Asia","",1,2.10039313221084,1.90860684232913,2.22825065879864,,0.319643816469518,40.8502772643253,17.3752310536044,28.4116331096197
"Ireland",178,"IRL",372,"IRE","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: OECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Northern Europe","",1,3.75307855437172,2.59108700007725,4.52773959056804,,1.93665259049079,60.8695652173913,22.8260869565217,49.2957746478873
"Israel",158,"ISR",376,"ISR","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","Developing countries","","","Europe","High income: OECD","","High income","","Asia","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","","","","","Asia","Western Asia","",1,4.25884294796971,5.19483686509105,3.63484700322215,,-1.5599898618689,65.5172413793103,40.5172413793103,42.0289855072464
"Italy",179,"ITA",380,"ITY","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: OECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Southern Europe","",1,4.07745166805588,5.67377793270912,3.01323415828705,,-2.66054377442207,63.9175257731959,43.2989690721649,36.3636363636364
"Cote d Ivoire",43,"CIV",384,"IVC","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","West Africa","","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","","","Africa","Lower middle income","Sub-Saharan Africa","Middle income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Excluding least developed countries","Excluding China","OIC","Africa","OIC Lower middle income","OIC Middle income","Countdown","West Africa","Africa","Western Africa","Fragile","Fragile","Fragile","","Africa","Western Africa","",1,1.99812390879289,0.46956983087771,3.01715996073635,,2.54759012985864,39.3184796854522,4.58715596330275,36.4010989010989
"Jamaica",124,"JAM",388,"JAM","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Caribbean","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","Upper middle income","Latin America and the Caribbean","Middle income","Low and middle income","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","Caribbean",1,2.66935718641629,3.29957555600019,2.24921160669369,,-1.0503639493065,48.6928104575163,28.1045751633987,28.6363636363636
"Japan",180,"JPN",392,"JPN","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Western Pacific","High income: OECD","","High income","","Asia","","More developed regions","More developed regions","","","","","","","","","","","","","","Asia","Eastern Asia","",1,3.38919144154881,3.36472236621213,3.40550415843994,,0.0407817922278073,57.1428571428571,28.5714285714286,40
"Kazakhstan",140,"KAZ",398,"KAZ","Caucasus and Central Asia","Caucasus and Central Asia","Developing regions","","","","CEE/CIS","CEE/CIS","","Developing countries","","","Europe","Upper middle income","Europe and Central Asia","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Asia/other","OIC Upper middle income","OIC Middle income","","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Central Asia","",1,5.26616528943817,1.87658969388676,7.52588235313911,,5.64929265925235,73.1939163498099,17.1102661596958,67.6605504587156
"Jordan",55,"JOR",400,"JDN","Western Asia","Western Asia","Developing regions","","","","Middle East and North Africa","Middle East and North Africa","","Developing countries","","Middle East","Eastern Mediterranean","Upper middle income","Middle East and North Africa","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Arab","OIC Upper middle income","OIC Middle income","","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Western Asia","",1,2.86099011024245,2.78615827214028,2.91087800231056,,0.124719730170279,51.0928961748634,24.3169398907104,35.3790613718412
"Kenya",16,"KEN",404,"KEN","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","Eastern Africa","","","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Developing countries","","","Africa","Lower middle income","Sub-Saharan Africa","Middle income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Excluding least developed countries","Excluding China","","","","","Countdown","Eastern Africa","Africa","Eastern Africa","Non-fragile","Non-fragile","Non-fragile","USAID","Africa","Eastern Africa","",1,2.91183699505482,-0.532951993065083,5.20836298713475,,5.74131498019983,51.7106549364614,-5.47409579667645,54.2168674698795
"Korea DPR",94,"PRK",408,"DRK","Eastern Asia","Eastern Asia excluding China","Developing regions","","","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","","","South-East Asia","Low income","East Asia and Pacific","Low income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","","","","","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Eastern Asia","",1,2.22236655054279,-3.23885121115742,5.86317839167626,,9.10202960283367,42.6267281105991,-38.2488479262673,58.5
"Korea Rep",97,"KOR",410,"KOR","Eastern Asia","Eastern Asia excluding China","Developing regions","","","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","","","Western Pacific","High income: OECD","","High income","","Asia","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Eastern Asia","",1,2.94527740970062,1.51806012868004,3.89675559704767,,2.37869546836762,52.112676056338,14.0845070422535,44.2622950819672
"Kuwait",56,"KWT",414,"KWT","Western Asia","Western Asia","Developing regions","","","","Middle East and North Africa","Middle East and North Africa","","Developing countries","","Middle East","Eastern Mediterranean","High income: nonOECD","","High income","","Asia","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Arab","OIC High income: nonOECD","OIC High income","","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Western Asia","",1,2.93215403834899,3.43198719382164,2.59893193470056,,-0.833055259121081,51.9553072625698,29.0502793296089,32.2834645669291
"Kyrgyzstan",141,"KGZ",417,"KIR","Caucasus and Central Asia","Caucasus and Central Asia","Developing regions","","","","CEE/CIS","CEE/CIS","","Developing countries","","","Europe","Lower middle income","Europe and Central Asia","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Asia/other","OIC Low income","","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Central Asia","",1,4.46272078872103,2.88708239807093,5.51314638248776,,2.62606398441683,67.2307692307692,25.0769230769231,56.2628336755647
"Lao PDR",87,"LAO",418,"LAO","South-eastern Asia","South-eastern Asia","Developing regions","","Least developed countries","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","Least developed countries","","Western Pacific","Lower middle income","East Asia and Pacific","Middle income","Low and middle income","Asia","","Less developed regions","Least developed countries","Excluding China","","","","","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","South-Eastern Asia","",1,3.559429899224,3.21923413461347,3.78622707563102,,0.566992941017554,58.9285714285714,27.5246305418719,43.3305012744265
"Lebanon",58,"LBN",422,"LEB","Western Asia","Western Asia","Developing regions","","","","Middle East and North Africa","Middle East and North Africa","","Developing countries","","Middle East","Eastern Mediterranean","Upper middle income","Middle East and North Africa","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Arab","OIC Upper middle income","OIC Middle income","","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Western Asia","",1,5.45993829813256,4.85507815781701,5.86317839167626,,1.00810023385925,74.4615384615385,38.4615384615385,58.5
"Lesotho",6,"LSO",426,"LES","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","South Africa","Least developed countries","","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Lower middle income","Sub-Saharan Africa","Middle income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","","","","","Countdown","Southern Africa","Africa","Southern Africa","Non-fragile","Non-fragile","Non-fragile","","Africa","Southern Africa","",1,-0.0942275765057771,-2.81990537451993,1.72289095550366,,4.54279633002359,-2.38365493757095,-32.5766174801362,22.7739726027397
"Latvia",160,"LVA",428,"LAT","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: nonOECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Northern Europe","",1,3.79468856550878,1.70625517030763,5.18697749564288,,3.48072232533524,61.2745098039216,15.6862745098039,54.0697674418605
"Liberia",33,"LBR",430,"LBR","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","West Africa","Least developed countries","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Low income","Sub-Saharan Africa","Low income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","","","","","Countdown","West Africa","Africa","Western Africa","Fragile","Fragile","Fragile","USAID","Africa","Western Africa","",1,5.17679158367465,3.38356363415048,6.37227688335743,,2.98871324920695,72.5882352941176,28.7058823529412,61.5511551155115
"Libya",57,"LBY",434,"LBY","Northern Africa","Northern Africa","Developing regions","North Africa","","","Middle East and North Africa","Middle East and North Africa","Africa","Developing countries","","North Africa","Eastern Mediterranean","Upper middle income","Middle East and North Africa","Middle income","Low and middle income","Africa","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Arab","OIC Upper middle income","OIC Middle income","","North Africa","Africa","Northern Africa","Fragile","Fragile","Fragile","","Africa","Northern Africa","",1,4.53138184124141,3.92330590927517,4.93676579588556,,1.01345988661039,67.7884615384615,32.4519230769231,52.3131672597865
"Liechtenstein",181,"LIE",438,"LIE","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","N/A","High income: nonOECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Western Europe","",1,,,,,,,,
"Lithuania",161,"LTU",440,"LIT","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: nonOECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Northern Europe","",1,4.61880702127661,3.35260849434916,5.46293937256158,,2.11033087821242,68.4848484848485,28.4848484848485,55.9322033898305
"Luxembourg",182,"LUX",442,"LUX","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: OECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Western Europe","",1,6.13159134124706,6.06135803570316,6.178413544943,,0.117055509239847,78.4090909090909,45.4545454545455,60.4166666666667
"Madagascar",7,"MDG",450,"MAD","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","Eastern Africa","Least developed countries","","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Low income","Sub-Saharan Africa","Low income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","","","","","Countdown","Eastern Africa","Africa","Eastern Africa","Non-fragile","Fragile","Fragile","USAID","Africa","Eastern Africa","",1,4.70219375605034,3.86358209432662,5.26126819719949,,1.39768610287287,69.1350342252645,32.0472930927194,54.5787545787546
"Malawi",8,"MWI",454,"MLW","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","South Africa","Least developed countries","","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Low income","Sub-Saharan Africa","Low income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","","","","","Countdown","Southern Africa","Africa","Southern Africa","Non-fragile","Fragile","Non-fragile","USAID","Africa","Eastern Africa","",1,5.32682468334195,3.2923774272028,6.68312285410138,,3.39074542689858,73.5973597359736,28.0528052805281,63.302752293578
"Malaysia",99,"MYS",458,"MLY","South-eastern Asia","South-eastern Asia","Developing regions","","","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","","","Western Pacific","Upper middle income","East Asia and Pacific","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Asia/other","OIC Upper middle income","OIC Middle income","","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","South-Eastern Asia","",1,3.45397018522874,4.87014975072272,2.50985047489941,,-2.36029927582331,57.8313253012048,38.5542168674699,31.3725490196078
